mid	profession	count	ambiguous1	level1	ambiguous2	level2	ambiguous3	level3
<http://rdf.freebase.com/ns/m.01xryvm>	Book	1	0	art	0	written	0	written
<http://rdf.freebase.com/ns/m.02hqb6w>	Comic Book Writer	1	0	art	0	written	0	written
<http://rdf.freebase.com/ns/m.02k9ydg>	Newspaper Owner	1	0	art	0	written	0	written
<http://rdf.freebase.com/ns/m.01y2hcj>	Visual Artist	556	0	art	0	visual	0	visual
<http://rdf.freebase.com/ns/m.03jz7mq>	Illustrator	4	0	art	0	visual	0	visual
<http://rdf.freebase.com/ns/m.02hqb5y>	Comic Book Penciler	5	0	art	0	visual	0	visual
<http://rdf.freebase.com/ns/m.02hqb55>	Comic Book Inker	3	0	art	0	visual	0	visual
<http://rdf.freebase.com/ns/m.02hqb4f>	Comic Book Colorist	1	0	art	0	visual	0	visual
<http://rdf.freebase.com/ns/m.02hqb5k>	Comic Book Letterer	1	0	art	0	visual	0	visual
<http://rdf.freebase.com/ns/m.01xljt3>	Architect	117	1	art	1	other art	1	other art
<http://rdf.freebase.com/ns/m.043vwp8>	Broadcast Artist	53	0	art	0	other art	0	other art
<http://rdf.freebase.com/ns/m.049xqrq>	Chef	13	0	art	0	other art	0	other art
<http://rdf.freebase.com/ns/m.05czvmf>	Fashion designer	13	0	art	0	other art	0	other art
<http://rdf.freebase.com/ns/m.021y6py>	Video Game Designer	5	0	art	0	other art	0	other art
<http://rdf.freebase.com/ns/m.025m0dz>	Ship Designer	5	0	art	0	other art	0	other art
<http://rdf.freebase.com/ns/m.0220pg2>	Game designer	4	0	art	0	other art	0	other art
<http://rdf.freebase.com/ns/m.02ht32z>	Automotive Designer	3	0	art	0	other art	0	other art
<http://rdf.freebase.com/ns/m.05cglht>	Collector	3	0	art	0	other art	0	other art
<http://rdf.freebase.com/ns/m.01y2hc4>	Museum director	2	0	art	0	other art	0	other art
<http://rdf.freebase.com/ns/m.05cgljk>	Hobbyist	1	1	art	1	other art	1	other art
<http://rdf.freebase.com/ns/m.01xljr7>	Football player	1344	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.02h7c7b>	Athlete	1092	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.048n9y1>	Olympic athlete	687	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.025698c>	Baseball Player	578	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.01xljrf>	American football player	534	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.01xrrch>	Basketball Player	228	0	sports	0	athlete	0	athlete
