mid	name	image	num_active_days	active_fraction_before	active_fraction_after	max_smoothed_before	max_raw_before	mean_before	mean_after	mean_after_peak	peak_smoothed	peak_raw	peak_raw_day	time_till_half	time_till_half_thresh	natural_death	unnatural_death	gender	cause_of_death	age	notable_type
/m/05w8mjt	Sunil_Gangopadhyay	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Sunil_Gangopadhyay.png")	100	0.0919220055710306	0.185595567867036	-7.73874018016268	-6.06612312773466	-7.808893804326	-7.73892271463463	-7.7977362467395	-6.1313196707307	-4.92643156047313	0	0.0555555555555556	0.0333333333333333	0	0	Male		78	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05wd48	Pete_Pihos	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Pete_Pihos.png")	69	0.0611111111111111	0.130555555555556	-7.78651253828457	-6.40343552789254	-7.80799558873918	-7.76786443203934	-7.79765019275699	-6.61067752633453	-5.14531432421652	0	0.125	0.0222222222222222	1	0	Male	<http://rdf.freebase.com/ns/m.0dcsx>Alzheimer's disease	88	<http://rdf.freebase.com/ns/m.01xljrf>American football player
/m/05wf95y	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05wf95y.png")	11	0.0217391304347826	0.0138504155124654	-7.81250132693736	-6.21410279703835	-7.8451233587468	-7.85615195764314	-7.86078730746103	-7.80420494842409	-6.69326502370363	1	0.0805555555555556	0.0805555555555556	0	0			NA	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05wfnk	Dennis_Callahan	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Dennis_Callahan.png")	21	0.0362116991643454	0.0221606648199446	-7.81112377409229	-7.16832841755018	-7.8407837164259	-7.85240239215044	-7.85603674321659	-7.81096783129773	-6.33293987688185	0	0.497222222222222	0.486111111111111	0	0	Male		NA	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/05wfqb	Steve_Landesberg	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Steve_Landesberg.png")	114	0.105072463768116	0.236111111111111	-7.68217523967369	-5.28502560780918	-7.73067618449801	-7.62504070510035	-7.71805942921088	-5.43601074420682	-4.00155294270999	1	0.0972222222222222	0.0555555555555556	1	0	Male	<http://rdf.freebase.com/ns/m.01dcqj>Colorectal cancer	74	<http://rdf.freebase.com/ns/m.01xrzlq>TV Actor
/m/05wgm00	Charles_Castle	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Charles_Castle.png")	42	0.0722222222222222	0.0443213296398892	-7.8086465524206	-7.04785788137842	-7.84173176592009	-7.84855135733706	-7.84957925173608	-7.83581439419585	-7.79600094283451	26	0.386111111111111	0.216666666666667	0	0			74	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05wmy71	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05wmy71.png")	128	0.122222222222222	0.232686980609418	-7.74783569563738	-6.86951845504036	-7.79968564990796	-7.75174667939961	-7.76464061342275	-7.59362716491229	-6.75339434216601	3	0.225	0.136111111111111	0	0	Male		95	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05wn91w	Grady_Clay	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Grady_Clay.png")	56	0.0138888888888889	0.141274238227147	-7.84508868741225	-7.35461073873033	-7.86159992717382	-7.76551482002392	-7.78365031965009	-7.10252963215707	-6.3473664861568	1	0.877777777777778	0.888888888888889	0	0	Male		97	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05wncsk	Isagani_Cruz	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Isagani_Cruz.png")	104	0.0833333333333333	0.204986149584488	-7.80890657419082	-6.85140708439904	-7.8227434995323	-7.77121226718491	-7.78172978079788	-7.57657026991986	-5.59018422064298	0	0.458333333333333	0.0666666666666667	0	0			NA	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05wp9d1	Peter_Beales	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Peter_Beales.png")	152	0.144444444444444	0.277008310249307	-7.72831702533023	-6.52895708692996	-7.78240722364956	-7.72014627524723	-7.73750391235987	-7.44812746505282	-5.96705993198852	3	0.441666666666667	0.408333333333333	0	0	Male		77	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05wqtz3	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05wqtz3.png")	11	0.0222841225626741	0.00831024930747922	-7.81898063015247	-6.56779642824641	-7.85232357784488	-7.86157783484316	-7.86266258653825	-7.84828241995204	-7.28919428539897	16	0.141666666666667	0.141666666666667	0	0			93	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05wrx6h	Emmanuel_Cooper	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Emmanuel_Cooper.png")	52	0.0445682451253482	0.0997229916897507	-7.81381483737339	-6.94952986110522	-7.83487924319047	-7.7937059047046	-7.82429634087839	-7.38365485398226	-6.08002272635519	2	0.0833333333333333	0.0694444444444444	0	0	Male		74	<http://rdf.freebase.com/ns/m.01xryvt>Author
